,RunId,iteration,Step,walls,boxes,time,visionRange,rows,columns,Scanner Agent Moves,Minion Random Moves,Minion Destination Movements,Minion 1 Total Piled Boxes,Minion 2 Total Piled Boxes,Minion 3 Total Piled Boxes,Minion 4 Total Piled Boxes,Minion 5 Total Piled Boxes,Percentage piled boxes
65,0,0,65,2,6,500,10,21,21,66,183,142,1,1,1,1,0,66.66666666666667
66,0,0,66,2,6,500,10,21,21,67,188,142,1,1,1,1,0,66.66666666666667
67,0,0,67,2,6,500,10,21,21,68,193,142,1,1,1,1,0,66.66666666666667
68,0,0,68,2,6,500,10,21,21,69,198,142,1,1,1,1,0,66.66666666666667
69,0,0,69,2,6,500,10,21,21,70,203,142,1,1,1,1,0,66.66666666666667
70,0,0,70,2,6,500,10,21,21,71,208,142,1,1,1,1,0,66.66666666666667
71,0,0,71,2,6,500,10,21,21,72,213,142,1,1,1,1,0,66.66666666666667
72,0,0,72,2,6,500,10,21,21,73,218,142,1,1,1,1,0,66.66666666666667
73,0,0,73,2,6,500,10,21,21,74,223,142,1,1,1,1,0,66.66666666666667
74,0,0,74,2,6,500,10,21,21,75,228,142,1,1,1,1,0,66.66666666666667
75,0,0,75,2,6,500,10,21,21,76,233,142,1,1,1,1,0,66.66666666666667
76,0,0,76,2,6,500,10,21,21,77,238,142,1,1,1,1,0,66.66666666666667
77,0,0,77,2,6,500,10,21,21,78,243,142,1,1,1,1,0,66.66666666666667
78,0,0,78,2,6,500,10,21,21,79,248,142,1,1,1,1,0,66.66666666666667
79,0,0,79,2,6,500,10,21,21,80,253,142,1,1,1,1,0,66.66666666666667
80,0,0,80,2,6,500,10,21,21,81,258,142,1,1,1,1,0,66.66666666666667
81,0,0,81,2,6,500,10,21,21,82,263,142,1,1,1,1,0,66.66666666666667
82,0,0,82,2,6,500,10,21,21,83,268,142,1,1,1,1,0,66.66666666666667
83,0,0,83,2,6,500,10,21,21,84,273,142,1,1,1,1,0,66.66666666666667
84,0,0,84,2,6,500,10,21,21,85,278,142,1,1,1,1,0,66.66666666666667
85,0,0,85,2,6,500,10,21,21,86,283,142,1,1,1,1,0,66.66666666666667
86,0,0,86,2,6,500,10,21,21,87,288,142,1,1,1,1,0,66.66666666666667
87,0,0,87,2,6,500,10,21,21,88,293,142,1,1,1,1,0,66.66666666666667
88,0,0,88,2,6,500,10,21,21,89,298,142,1,1,1,1,0,66.66666666666667
89,0,0,89,2,6,500,10,21,21,90,303,142,1,1,1,1,0,66.66666666666667
90,0,0,90,2,6,500,10,21,21,91,308,142,1,1,1,1,0,66.66666666666667
91,0,0,91,2,6,500,10,21,21,92,313,142,1,1,1,1,0,66.66666666666667
92,0,0,92,2,6,500,10,21,21,93,318,142,1,1,1,1,0,66.66666666666667
93,0,0,93,2,6,500,10,21,21,94,323,142,1,1,1,1,0,66.66666666666667
94,0,0,94,2,6,500,10,21,21,95,328,142,1,1,1,1,0,66.66666666666667
95,0,0,95,2,6,500,10,21,21,96,332,143,1,1,1,1,0,66.66666666666667
96,0,0,96,2,6,500,10,21,21,97,336,144,1,1,1,1,0,66.66666666666667
97,0,0,97,2,6,500,10,21,21,98,340,145,1,1,1,1,0,66.66666666666667
98,0,0,98,2,6,500,10,21,21,99,344,146,1,1,1,1,0,66.66666666666667
99,0,0,99,2,6,500,10,21,21,100,348,147,1,1,1,1,0,66.66666666666667
100,0,0,100,2,6,500,10,21,21,101,352,148,1,1,1,1,0,66.66666666666667
101,1,1,0,2,6,500,10,21,21,1,5,0,0,0,0,0,0,0.0
102,1,1,1,2,6,500,10,21,21,2,10,0,0,0,0,0,0,0.0
103,1,1,2,2,6,500,10,21,21,3,15,0,0,0,0,0,0,0.0
104,1,1,3,2,6,500,10,21,21,4,20,0,0,0,0,0,0,0.0
105,1,1,4,2,6,500,10,21,21,5,25,0,0,0,0,0,0,0.0
106,1,1,5,2,6,500,10,21,21,6,30,0,0,0,0,0,0,0.0
107,1,1,6,2,6,500,10,21,21,7,34,1,0,0,0,0,0,0.0
108,1,1,7,2,6,500,10,21,21,8,38,2,0,0,0,0,0,0.0
109,1,1,8,2,6,500,10,21,21,9,42,3,0,0,0,0,0,0.0
110,1,1,9,2,6,500,10,21,21,10,46,4,0,0,0,0,0,0.0
111,1,1,10,2,6,500,10,21,21,11,50,4,1,0,0,0,0,0.0
112,1,1,11,2,6,500,10,21,21,12,53,6,1,0,0,0,0,0.0
113,1,1,12,2,6,500,10,21,21,13,56,8,1,0,0,0,0,0.0
114,1,1,13,2,6,500,10,21,21,14,59,10,1,0,0,0,0,0.0
115,1,1,14,2,6,500,10,21,21,15,62,12,1,0,0,0,0,0.0
116,1,1,15,2,6,500,10,21,21,16,65,14,1,0,0,0,0,0.0
117,1,1,16,2,6,500,10,21,21,17,68,16,1,0,0,0,0,0.0
118,1,1,17,2,6,500,10,21,21,18,71,18,1,0,0,0,0,0.0
119,1,1,18,2,6,500,10,21,21,19,74,20,1,0,0,0,0,0.0
120,1,1,19,2,6,500,10,21,21,20,77,22,1,0,0,0,0,0.0
121,1,1,20,2,6,500,10,21,21,21,80,24,1,0,0,0,0,0.0
